time,amp,sigma,band
8.3147,2.0368,0.0056,b3
8.3197,2.041,0.006,b3
8.3247,2.0355,0.0053,b3
8.3297,2.0531,0.0053,b3
8.3347,2.0607,0.0052,b3
8.6033,2.259,0.0058,b3
8.6086,2.2694,0.006,b3
8.6136,2.264,0.0056,b3
8.6186,2.2649,0.0057,b3
8.6236,2.2595,0.0057,b3
8.6286,2.2657,0.0059,b3
8.6339,2.2462,0.0058,b3
8.6389,2.2599,0.0058,b3
8.6439,2.2664,0.0057,b3
8.6489,2.2568,0.0057,b3
8.6539,2.2632,0.0058,b3
8.6589,2.2643,0.0059,b3
8.6642,2.2603,0.0056,b3
8.6692,2.2633,0.0056,b3
8.6742,2.2569,0.0054,b3
8.6792,2.2614,0.0057,b3
8.6842,2.2539,0.0058,b3
8.6894,2.2584,0.0059,b3
8.6944,2.262,0.0058,b3
8.6994,2.2539,0.0056,b3
8.7044,2.26,0.0058,b3
8.7083,2.2538,0.0059,b3
8.7136,2.2536,0.006,b3
8.7197,2.2554,0.0062,b3
8.7247,2.2515,0.0063,b3
8.7297,2.2562,0.0057,b3
8.7347,2.2617,0.0057,b3
8.74,2.2583,0.0058,b3
8.745,2.261,0.0057,b3
8.75,2.2614,0.0057,b3
8.8033,2.2454,0.0063,b3
8.8086,2.2581,0.0055,b3
8.8136,2.2712,0.0054,b3
8.8186,2.2635,0.0055,b3
8.8236,2.2792,0.0057,b3
8.8286,2.2757,0.0057,b3
8.8339,2.2517,0.0064,b3
8.8389,2.2788,0.0057,b3
8.8439,2.2715,0.0065,b3
8.8489,2.2757,0.0057,b3
8.8539,2.2824,0.0057,b3
8.8589,2.2864,0.0055,b3
8.8642,2.2834,0.0059,b3
8.8692,2.2838,0.006,b3
8.8742,2.2618,0.0062,b3
8.8792,2.2503,0.0058,b3
8.8842,2.2733,0.0056,b3
8.8894,2.2825,0.0055,b3
8.8944,2.2768,0.0056,b3
8.8994,2.2963,0.0059,b3
8.9044,2.301,0.006,b3
8.9094,2.2955,0.0057,b3
8.9147,2.2997,0.0058,b3
9.07,2.3286,0.0061,b3
9.0753,2.3346,0.0061,b3
9.0803,2.3356,0.006,b3
9.0853,2.3321,0.0061,b3
9.0903,2.3382,0.0062,b3
9.0953,2.3318,0.006,b3
9.1006,2.3342,0.0062,b3
9.1056,2.3322,0.0059,b3
9.1106,2.3357,0.0062,b3
9.1156,2.3376,0.006,b3
9.1206,2.3255,0.0061,b3
9.1256,2.3333,0.0059,b3
9.1308,2.3321,0.006,b3
9.1358,2.3252,0.0063,b3
9.1408,2.3246,0.0062,b3
9.1458,2.3234,0.0063,b3
9.1508,2.3243,0.0064,b3
9.1561,2.3239,0.0063,b3
9.1611,2.3238,0.006,b3
9.1656,2.3202,0.0061,b3
9.22,2.325,0.0062,b3
9.2253,2.3215,0.0062,b3
9.2303,2.3246,0.0065,b3
9.2353,2.3262,0.0064,b3
9.2403,2.3237,0.0063,b3
9.2453,2.3263,0.0065,b3
9.2506,2.327,0.0064,b3
9.2556,2.3273,0.0064,b3
9.2606,2.3275,0.0063,b3
9.2656,2.326,0.0064,b3
9.2706,2.3268,0.0065,b3
9.2756,2.3303,0.0067,b3
9.2808,2.3232,0.0066,b3
9.2858,2.3253,0.0066,b3
9.2908,2.3248,0.0065,b3
9.2958,2.3277,0.0064,b3
9.3008,2.3279,0.0066,b3
9.3061,2.323,0.0064,b3
9.3111,2.3178,0.0064,b3
9.3161,2.3165,0.0064,b3
9.3211,2.3169,0.0065,b3
9.3261,2.3097,0.0066,b3
9.3314,2.3105,0.0065,b3
9.3364,2.3104,0.0067,b3
9.3414,2.3061,0.0066,b3
9.3464,2.3015,0.0066,b3
9.3514,2.3007,0.0067,b3
9.3567,2.3,0.0065,b3
9.3617,2.294,0.0063,b3
9.3667,2.2917,0.0065,b3
9.62,2.2902,0.0062,b3
9.6253,2.2875,0.0063,b3
9.6303,2.2674,0.0062,b3
9.6353,2.2758,0.0062,b3
9.6403,2.2673,0.0063,b3
9.6453,2.266,0.0064,b3
9.6506,2.2633,0.0064,b3
9.6556,2.2593,0.0063,b3
9.6606,2.256,0.0067,b3
9.6656,2.2488,0.0063,b3
9.6706,2.2482,0.0064,b3
9.6756,2.2432,0.0063,b3
9.6808,2.2465,0.0065,b3
9.6858,2.2455,0.006,b3
9.6908,2.2378,0.0058,b3
9.6958,2.243,0.006,b3
9.7008,2.2416,0.0063,b3
9.7061,2.2387,0.006,b3
9.7111,2.2369,0.0063,b3
9.7161,2.2362,0.0062,b3
9.7206,2.2313,0.0062,b3
9.7256,2.2345,0.0062,b3
9.7314,2.2308,0.0062,b3
9.7364,2.229,0.006,b3
9.7414,2.2287,0.0061,b3
9.7458,2.2303,0.006,b3
9.7514,2.2324,0.0063,b3
9.97,2.3161,0.0058,b3
9.9753,2.3125,0.006,b3
9.9803,2.3138,0.0059,b3
9.9847,2.3313,0.0057,b3
9.9897,2.3292,0.0056,b3
9.9953,2.3286,0.0057,b3
9.9986,2.3387,0.0059,b3
10.005,2.3393,0.0061,b3
10.0106,2.3469,0.0058,b3
10.0156,2.3448,0.0059,b3
10.0206,2.3518,0.0057,b3
10.0256,2.3576,0.0057,b3
10.0308,2.3474,0.0057,b3
10.0358,2.3606,0.006,b3
10.0408,2.3592,0.0059,b3
10.0458,2.3638,0.0059,b3
10.0508,2.3638,0.0059,b3
10.055,2.3614,0.0059,b3
10.0611,2.3686,0.0058,b3
10.0661,2.3555,0.0064,b3
10.0711,2.3678,0.0053,b3
10.0761,2.3479,0.0049,b3
10.0814,2.3681,0.0059,b3
10.0864,2.3632,0.0057,b3
10.0914,2.3716,0.0059,b3
10.0964,2.3481,0.0059,b3
10.1008,2.3628,0.0059,b3
10.1067,2.3643,0.006,b3
10.1117,2.3643,0.0058,b3
10.1167,2.3607,0.0057,b3
10.1217,2.3624,0.006,b3
10.1261,2.3592,0.0062,b3
10.1319,2.3585,0.0062,b3
10.1867,2.3166,0.006,b3
10.1919,2.3185,0.0056,b3
10.1969,2.259,0.0055,b3
10.2019,2.3172,0.0056,b3
10.2069,2.3279,0.0057,b3
10.2119,2.3227,0.0056,b3
10.2172,2.3195,0.005,b3
10.2222,2.3214,0.0055,b3
10.2267,2.3246,0.0059,b3
10.2322,2.3103,0.006,b3
10.2372,2.2804,0.0061,b3
10.2422,2.2762,0.0051,b3
10.2469,2.3064,0.006,b3
10.2514,2.2556,0.0089,b3
10.2564,2.299,0.0052,b3
10.2625,2.2961,0.006,b3
10.2675,2.3072,0.006,b3
10.32,2.2904,0.0062,b3
10.3253,2.2995,0.0058,b3
10.3303,2.2933,0.0057,b3
10.3353,2.2978,0.0056,b3
10.3403,2.2801,0.0054,b3
10.3453,2.2793,0.0053,b3
10.3506,2.2967,0.0054,b3
10.355,2.3084,0.0056,b3
10.3606,2.2999,0.0052,b3
10.3656,2.2953,0.0056,b3
10.3706,2.3033,0.0055,b3
10.3756,2.305,0.0054,b3
10.3808,2.299,0.0052,b3
10.3858,2.2938,0.0052,b3
10.3908,2.3014,0.0054,b3
10.3958,2.2993,0.0053,b3
10.4008,2.2937,0.0054,b3
10.4061,2.2689,0.0057,b3
10.4156,2.2892,0.0058,b3
10.4206,2.2641,0.0076,b3
10.4261,2.2722,0.0062,b3
10.4314,2.2986,0.0055,b3
10.5867,2.2633,0.0053,b3
10.5919,2.2418,0.0055,b3
10.5969,2.2611,0.0051,b3
10.6019,2.2609,0.005,b3
10.6069,2.2597,0.0053,b3
10.6119,2.2683,0.005,b3
10.6167,2.2585,0.005,b3
10.6222,2.2388,0.0053,b3
10.6272,2.2627,0.0055,b3
10.6322,2.2566,0.0054,b3
10.6372,2.2504,0.0056,b3
10.6422,2.2242,0.0047,b3
10.6469,2.2453,0.0052,b3
10.6525,2.2147,0.0056,b3
10.6569,2.235,0.0047,b3
10.6625,2.1996,0.0054,b3
10.6664,2.2469,0.0055,b3
10.6717,2.2485,0.0053,b3
10.6767,2.2452,0.0052,b3
10.6822,2.2438,0.0047,b3
10.6872,2.233,0.0051,b3
10.6928,2.2434,0.0052,b3
10.6981,2.233,0.0055,b3
10.7031,2.2126,0.0057,b3
10.7081,2.2094,0.0051,b3
10.7125,2.2109,0.0053,b3
10.7169,2.1775,0.0061,b3
10.77,2.206,0.0054,b3
10.7753,2.198,0.0058,b3
10.7803,2.1886,0.0063,b3
10.7847,2.1728,0.0056,b3
10.7897,2.1704,0.0063,b3
10.7947,2.1636,0.0053,b3
10.8,2.1575,0.0052,b3
10.8056,2.1925,0.0054,b3
10.8106,2.1669,0.0049,b3
10.8156,2.1644,0.0054,b3
10.8206,2.1915,0.0057,b3
10.8256,2.1812,0.0056,b3
10.8308,2.1896,0.0058,b3
10.8358,2.1916,0.0055,b3
10.8403,2.1935,0.0055,b3
10.8458,2.1861,0.0055,b3
10.8508,2.1925,0.0054,b3
10.855,2.145,0.0075,b3
10.8606,2.1561,0.0056,b3
10.8656,2.1749,0.0049,b3
10.8711,2.1645,0.0059,b3
10.8761,2.1722,0.0052,b3
10.8808,2.1653,0.0057,b3
10.8864,2.171,0.0053,b3
10.8914,2.1715,0.0055,b3
10.8964,2.1655,0.0056,b3
10.9008,2.1547,0.0055,b3
11.1419,2.1702,0.0052,b3
11.1469,2.1544,0.005,b3
11.1519,2.1574,0.0052,b3
11.1569,2.0833,0.0067,b3
11.1622,2.141,0.0052,b3
11.1672,2.1256,0.0061,b3
11.1706,2.1231,0.0065,b3
11.1772,2.1136,0.0054,b3
11.1822,2.0734,0.007,b3
11.1872,2.1163,0.0061,b3
11.1925,2.0874,0.0055,b3
11.1975,2.1045,0.0052,b3
11.2025,2.1139,0.0052,b3
11.2075,2.1024,0.005,b3
11.2119,2.0909,0.0051,b3
11.2178,2.0741,0.0048,b3
11.2228,2.0803,0.0046,b3
11.2278,2.0257,0.0055,b3
11.2328,2.071,0.0051,b3
11.2767,2.0397,0.0049,b3
11.2817,2.0289,0.0046,b3
11.2867,2.0253,0.0049,b3
11.2919,2.0224,0.0046,b3
11.2969,2.023,0.0049,b3
11.3008,2.0169,0.005,b3
11.3069,2.0133,0.0048,b3
11.3119,2.005,0.005,b3
11.3172,1.9967,0.0049,b3
11.3222,1.9907,0.0047,b3
