time,amp,sigma,band
7.2578,2.4103,0.0059,b4
7.2622,2.4112,0.0056,b4
7.2678,2.4228,0.0058,b4
7.495,2.2947,0.0061,b4
7.4997,2.312,0.0055,b4
7.5053,2.3122,0.0055,b4
7.5103,2.3173,0.0052,b4
7.5153,2.3176,0.0053,b4
7.5197,2.3161,0.0052,b4
7.5356,2.3194,0.0052,b4
7.5406,2.3114,0.0054,b4
7.5456,2.2941,0.0051,b4
7.5506,2.3023,0.0052,b4
7.5558,2.3013,0.0052,b4
7.5608,2.2962,0.0053,b4
7.5658,2.3031,0.0051,b4
7.5708,2.3053,0.0052,b4
7.5758,2.2939,0.0052,b4
7.5811,2.2967,0.0055,b4
7.5861,2.3012,0.0052,b4
7.5911,2.2993,0.0055,b4
7.5956,2.3152,0.005,b4
7.6011,2.3045,0.0051,b4
7.6064,2.3063,0.0048,b4
7.6114,2.3106,0.0053,b4
7.6164,2.326,0.0049,b4
7.6214,2.318,0.0052,b4
7.6253,2.3228,0.0051,b4
7.6317,2.3178,0.0052,b4
7.6361,2.3274,0.0052,b4
7.6417,2.3186,0.0051,b4
7.6467,2.3263,0.005,b4
7.6517,2.3291,0.0049,b4
7.6569,2.3344,0.0049,b4
7.6619,2.3257,0.0051,b4
7.6669,2.3181,0.0051,b4
7.6719,2.3326,0.0053,b4
7.6769,2.3229,0.0052,b4
7.6819,2.3206,0.0053,b4
7.6872,2.2974,0.0057,b4
7.6917,2.2957,0.006,b4
7.7861,2.297,0.005,b4
7.7919,2.3086,0.0054,b4
7.7969,2.3222,0.0052,b4
7.8008,2.3133,0.0052,b4
7.8069,2.3159,0.0056,b4
7.8119,2.3208,0.0049,b4
7.8172,2.318,0.0049,b4
7.8222,2.3221,0.0052,b4
7.8272,2.3092,0.0051,b4
7.8322,2.3128,0.0054,b4
7.8372,2.3106,0.0056,b4
7.8417,2.3093,0.0054,b4
7.8475,2.3083,0.0056,b4
7.8525,2.2986,0.0054,b4
7.8575,2.2943,0.0058,b4
7.8625,2.2944,0.0054,b4
7.8675,2.276,0.0054,b4
7.8728,2.2931,0.0052,b4
7.8778,2.2892,0.0059,b4
7.8828,2.2957,0.0053,b4
7.8878,2.2843,0.0053,b4
7.8928,2.2672,0.0051,b4
7.8981,2.2812,0.0054,b4
7.9031,2.2445,0.0064,b4
7.9081,2.2431,0.0062,b4
7.9131,2.271,0.0056,b4
7.9181,2.2611,0.0051,b4
7.9233,2.2602,0.0058,b4
7.9283,2.2581,0.0052,b4
7.9333,2.2718,0.0055,b4
7.9378,2.2652,0.0056,b4
7.9433,2.2671,0.0052,b4
7.9486,2.2696,0.005,b4
7.9536,2.2749,0.0057,b4
7.9586,2.2716,0.0055,b4
7.9636,2.2705,0.0054,b4
7.9686,2.263,0.0055,b4
7.9736,2.2348,0.0062,b4
7.9789,2.2657,0.0054,b4
7.9839,2.2567,0.0057,b4
8.2033,2.106,0.0056,b4
8.2086,2.1011,0.006,b4
8.2136,2.1153,0.006,b4
8.2186,2.0835,0.007,b4
8.2236,2.1177,0.0055,b4
8.2286,2.1104,0.0056,b4
8.2339,2.0966,0.005,b4
8.2389,2.1036,0.005,b4
8.2439,2.1169,0.0054,b4
8.2489,2.1131,0.0056,b4
8.2539,2.114,0.0056,b4
8.2589,2.1068,0.0055,b4
8.2642,2.0891,0.0058,b4
8.2692,2.086,0.006,b4
8.2742,2.1075,0.0055,b4
8.2792,2.0803,0.0079,b4
8.2842,2.1074,0.0065,b4
8.2894,2.1214,0.0057,b4
8.2939,2.1085,0.006,b4
8.2994,2.1229,0.006,b4
8.3044,2.1275,0.006,b4
8.3094,2.1252,0.0061,b4
8.3147,2.1136,0.0057,b4
8.3197,2.1169,0.0062,b4
8.3247,2.1129,0.0057,b4
8.3297,2.1318,0.0054,b4
8.3347,2.1395,0.0054,b4
8.6033,2.348,0.0057,b4
8.6086,2.3584,0.0058,b4
8.6136,2.3541,0.0056,b4
8.6186,2.3536,0.0056,b4
8.6236,2.3486,0.0056,b4
8.6286,2.3543,0.0057,b4
8.6339,2.3336,0.0057,b4
8.6389,2.3489,0.0057,b4
8.6439,2.3556,0.0056,b4
8.6489,2.345,0.0058,b4
8.6539,2.3523,0.0057,b4
8.6589,2.3536,0.0058,b4
8.6642,2.3488,0.0057,b4
8.6692,2.3528,0.0057,b4
8.6742,2.3462,0.0055,b4
8.6792,2.35,0.0056,b4
8.6842,2.3426,0.0058,b4
8.6894,2.3465,0.0058,b4
8.6944,2.3517,0.0056,b4
8.6994,2.344,0.0056,b4
8.7044,2.3486,0.0059,b4
8.7083,2.3418,0.0059,b4
8.7136,2.3418,0.0058,b4
8.7197,2.3429,0.0062,b4
8.7247,2.34,0.0065,b4
8.7297,2.3432,0.0058,b4
8.7347,2.351,0.0058,b4
8.74,2.3453,0.0058,b4
8.745,2.3502,0.0056,b4
8.75,2.351,0.0057,b4
8.8033,2.334,0.0068,b4
8.8086,2.3476,0.006,b4
8.8136,2.3613,0.0056,b4
8.8186,2.3526,0.0056,b4
8.8236,2.369,0.0057,b4
8.8286,2.3664,0.0058,b4
8.8339,2.3403,0.0064,b4
8.8389,2.3691,0.0057,b4
8.8439,2.3607,0.0069,b4
8.8489,2.3644,0.0062,b4
8.8539,2.3728,0.0061,b4
8.8589,2.3779,0.0062,b4
8.8642,2.375,0.0063,b4
8.8692,2.375,0.0063,b4
8.8742,2.3528,0.0066,b4
8.8792,2.3382,0.0062,b4
8.8842,2.3634,0.006,b4
8.8894,2.3736,0.006,b4
8.8944,2.3681,0.0058,b4
8.8994,2.3886,0.0059,b4
8.9044,2.3941,0.0062,b4
8.9094,2.3881,0.0059,b4
8.9147,2.3935,0.006,b4
9.07,2.4191,0.0063,b4
9.0753,2.4283,0.0064,b4
9.0803,2.4276,0.006,b4
9.0853,2.4243,0.0059,b4
9.0903,2.4299,0.0061,b4
9.0953,2.4231,0.006,b4
9.1006,2.4264,0.0062,b4
9.1056,2.4229,0.0063,b4
9.1106,2.4273,0.0066,b4
9.1156,2.4291,0.0062,b4
9.1206,2.417,0.0062,b4
9.1256,2.4259,0.0065,b4
9.1308,2.4247,0.0064,b4
9.1358,2.417,0.0065,b4
9.1408,2.4171,0.0066,b4
9.1458,2.4162,0.0066,b4
9.1508,2.4161,0.0065,b4
9.1561,2.416,0.0066,b4
9.1611,2.4165,0.0064,b4
9.1656,2.4121,0.0062,b4
9.22,2.416,0.0063,b4
9.2253,2.4115,0.0062,b4
9.2303,2.4157,0.0066,b4
9.2353,2.418,0.0065,b4
9.2403,2.4147,0.0063,b4
9.2453,2.4172,0.0064,b4
9.2506,2.4185,0.0065,b4
9.2556,2.4192,0.0064,b4
9.2606,2.4199,0.0063,b4
9.2656,2.4185,0.0064,b4
9.2706,2.4179,0.0065,b4
9.2756,2.4211,0.0065,b4
9.2808,2.4137,0.0065,b4
9.2858,2.4148,0.0067,b4
9.2908,2.4156,0.0067,b4
9.2958,2.4187,0.0066,b4
9.3008,2.4183,0.0068,b4
9.3061,2.4138,0.0066,b4
9.3111,2.4092,0.0065,b4
9.3161,2.4073,0.0067,b4
9.3211,2.4079,0.0067,b4
9.3261,2.4007,0.0066,b4
9.3314,2.4015,0.0067,b4
9.3364,2.4016,0.0068,b4
9.3414,2.3967,0.0069,b4
9.3464,2.3905,0.0067,b4
9.3514,2.3894,0.0068,b4
9.3567,2.3881,0.0069,b4
9.3617,2.3837,0.0067,b4
9.3667,2.3812,0.0069,b4
9.62,2.3807,0.0062,b4
9.6253,2.3764,0.0063,b4
9.6303,2.355,0.0064,b4
9.6353,2.3653,0.0062,b4
9.6403,2.3558,0.0063,b4
9.6453,2.3553,0.0063,b4
9.6506,2.3523,0.0063,b4
9.6556,2.3478,0.0062,b4
9.6606,2.3441,0.0064,b4
9.6656,2.3382,0.0061,b4
9.6706,2.3362,0.0064,b4
9.6756,2.33,0.0063,b4
9.6808,2.3337,0.0065,b4
9.6858,2.3333,0.0063,b4
9.6908,2.3246,0.0061,b4
9.6958,2.3302,0.0063,b4
9.7008,2.3287,0.0065,b4
9.7061,2.3254,0.0062,b4
9.7111,2.3231,0.0064,b4
9.7161,2.3226,0.006,b4
9.7206,2.3176,0.0063,b4
9.7256,2.3208,0.0064,b4
9.7314,2.3168,0.0063,b4
9.7364,2.3148,0.0063,b4
9.7414,2.3162,0.0065,b4
9.7458,2.3177,0.0061,b4
9.7514,2.3195,0.0064,b4
9.97,2.4072,0.0061,b4
9.9753,2.4018,0.0064,b4
9.9803,2.4034,0.0061,b4
9.9847,2.4224,0.0061,b4
9.9897,2.4211,0.0059,b4
9.9953,2.4193,0.006,b4
9.9986,2.4303,0.0064,b4
10.005,2.4323,0.0064,b4
10.0106,2.4401,0.0061,b4
10.0156,2.4373,0.0064,b4
10.0206,2.4438,0.006,b4
10.0256,2.4494,0.0063,b4
10.0308,2.4398,0.0062,b4
10.0358,2.4521,0.0063,b4
10.0408,2.4531,0.0062,b4
10.0458,2.4581,0.0062,b4
10.0508,2.4573,0.0064,b4
10.055,2.4547,0.0066,b4
10.0611,2.4626,0.0064,b4
10.0661,2.449,0.0071,b4
10.0711,2.4588,0.0058,b4
10.0761,2.4397,0.0053,b4
10.0814,2.4606,0.0063,b4
10.0864,2.4567,0.006,b4
10.0914,2.4647,0.0062,b4
10.0964,2.4426,0.0064,b4
10.1008,2.4568,0.0062,b4
10.1067,2.4591,0.0064,b4
10.1117,2.4571,0.0061,b4
10.1167,2.4539,0.0061,b4
10.1217,2.4557,0.0064,b4
10.1261,2.4519,0.0066,b4
10.1319,2.4498,0.0064,b4
10.1867,2.4069,0.0063,b4
10.1919,2.4088,0.006,b4
10.1969,2.3442,0.0059,b4
10.2019,2.4067,0.0059,b4
10.2069,2.4189,0.0058,b4
10.2119,2.4123,0.0059,b4
10.2172,2.4091,0.0053,b4
10.2222,2.411,0.0059,b4
10.2267,2.4129,0.0062,b4
10.2322,2.3982,0.0064,b4
10.2372,2.3686,0.0061,b4
10.2422,2.364,0.0054,b4
10.2469,2.3946,0.0061,b4
10.2514,2.3421,0.0091,b4
10.2564,2.3889,0.0054,b4
10.2625,2.3847,0.0061,b4
10.2675,2.3969,0.0062,b4
10.32,2.3805,0.0063,b4
10.3253,2.391,0.006,b4
10.3303,2.3821,0.0058,b4
10.3353,2.3913,0.0062,b4
10.3403,2.3688,0.0055,b4
10.3453,2.3697,0.0053,b4
10.3506,2.3867,0.0056,b4
10.355,2.4002,0.0057,b4
10.3606,2.3894,0.0053,b4
10.3656,2.3866,0.0058,b4
10.3706,2.3951,0.0059,b4
10.3756,2.3983,0.0056,b4
10.3808,2.3901,0.0053,b4
10.3858,2.3863,0.0054,b4
10.3908,2.3946,0.0056,b4
10.3958,2.3915,0.0057,b4
10.4008,2.3847,0.0055,b4
10.4061,2.3585,0.0059,b4
10.4156,2.3791,0.0062,b4
10.4206,2.3517,0.0078,b4
10.4261,2.3608,0.0065,b4
10.4314,2.3896,0.0056,b4
10.5867,2.3495,0.0056,b4
10.5919,2.3262,0.0059,b4
10.5969,2.3493,0.0056,b4
10.6019,2.3488,0.0054,b4
10.6069,2.3483,0.0057,b4
10.6119,2.3577,0.0055,b4
10.6167,2.3484,0.0056,b4
10.6222,2.3268,0.0059,b4
10.6272,2.3515,0.0059,b4
10.6322,2.346,0.0059,b4
10.6372,2.3379,0.006,b4
10.6422,2.3134,0.005,b4
10.6469,2.3351,0.0055,b4
10.6525,2.3003,0.0059,b4
10.6569,2.3242,0.005,b4
10.6625,2.2856,0.0057,b4
10.6664,2.3355,0.0056,b4
10.6717,2.3375,0.0055,b4
10.6767,2.3349,0.0054,b4
10.6822,2.3326,0.0051,b4
10.6872,2.3195,0.0056,b4
10.6928,2.3309,0.0056,b4
10.6981,2.3198,0.0058,b4
10.7031,2.2984,0.0059,b4
10.7081,2.2961,0.0053,b4
10.7125,2.2969,0.0056,b4
10.7169,2.2601,0.0066,b4
10.77,2.2923,0.0056,b4
10.7753,2.2826,0.0059,b4
10.7803,2.272,0.0066,b4
10.7847,2.2556,0.0059,b4
10.7897,2.2541,0.0066,b4
10.7947,2.248,0.0055,b4
10.8,2.2416,0.0056,b4
10.8056,2.2783,0.0057,b4
10.8106,2.2496,0.0051,b4
10.8156,2.2471,0.0058,b4
10.8206,2.2776,0.006,b4
10.8256,2.268,0.0058,b4
10.8308,2.2754,0.0062,b4
10.8358,2.2794,0.0058,b4
10.8403,2.2797,0.0059,b4
10.8458,2.2714,0.0059,b4
10.8508,2.2793,0.0058,b4
10.855,2.2295,0.0082,b4
10.8606,2.2386,0.0058,b4
10.8656,2.261,0.0052,b4
10.8711,2.2489,0.0067,b4
10.8761,2.2591,0.0056,b4
10.8808,2.2511,0.0059,b4
10.8864,2.2568,0.0057,b4
10.8914,2.2568,0.0056,b4
10.8964,2.2516,0.0057,b4
10.9008,2.2405,0.0057,b4
11.1419,2.258,0.0054,b4
11.1469,2.2401,0.005,b4
11.1519,2.2423,0.0056,b4
11.1569,2.1653,0.0069,b4
11.1622,2.2241,0.0053,b4
11.1672,2.2111,0.0066,b4
11.1706,2.2077,0.0069,b4
11.1772,2.1975,0.006,b4
11.1822,2.1575,0.0073,b4
11.1872,2.202,0.0064,b4
11.1925,2.1701,0.0059,b4
11.1975,2.1905,0.0056,b4
11.2025,2.1997,0.0056,b4
11.2075,2.1861,0.0053,b4
11.2119,2.1752,0.0055,b4
11.2178,2.1568,0.0051,b4
11.2228,2.1637,0.0049,b4
11.2278,2.1054,0.0056,b4
11.2328,2.1542,0.0055,b4
11.2767,2.1203,0.005,b4
11.2817,2.1102,0.0049,b4
11.2867,2.1046,0.005,b4
11.2919,2.104,0.005,b4
11.2969,2.1027,0.005,b4
11.3008,2.0952,0.0051,b4
11.3069,2.0925,0.0051,b4
11.3119,2.0849,0.0053,b4
11.3172,2.0755,0.0052,b4
11.3222,2.0681,0.0049,b4
11.3272,2.0621,0.005,b4
11.3317,2.0697,0.0053,b4
11.3372,2.0606,0.0049,b4
11.3422,2.0596,0.0046,b4
11.3475,2.054,0.0052,b4
11.3525,2.0585,0.0052,b4
11.3569,2.0564,0.0048,b4
11.3625,2.0564,0.0051,b4
11.3675,2.0524,0.0051,b4
11.3722,2.0586,0.0051,b4
11.3772,2.0521,0.0053,b4
11.3828,2.0509,0.0052,b4
11.3878,2.037,0.005,b4
11.3922,2.0285,0.0045,b4
11.3981,2.0325,0.0051,b4
11.4031,2.0412,0.0053,b4
11.4081,2.038,0.0051,b4
11.4131,2.0381,0.0052,b4
11.4181,2.0397,0.005,b4
11.4233,2.028,0.005,b4
11.4283,2.013,0.0057,b4
11.4333,2.0246,0.0047,b4
11.4383,2.0169,0.0059,b4
11.4428,2.0389,0.0055,b4
11.4472,2.0159,0.0068,b4
11.6033,2.0581,0.0054,b4
11.6086,2.0469,0.0052,b4
11.6136,2.0553,0.005,b4
11.6186,2.0566,0.005,b4
11.6236,2.0678,0.0051,b4
11.6286,2.0713,0.005,b4
11.6333,2.0665,0.0056,b4
11.6383,2.0739,0.0047,b4
11.6433,2.0709,0.0045,b4
11.6483,2.0728,0.0049,b4
11.6539,2.0793,0.0048,b4
11.6589,2.078,0.005,b4
11.6642,2.0784,0.0051,b4
11.6692,2.0801,0.0051,b4
11.6742,2.0859,0.0051,b4
11.6792,2.0886,0.0052,b4
11.6842,2.0932,0.0053,b4
11.6894,2.0926,0.0052,b4
11.6944,2.0781,0.0052,b4
11.6994,2.0697,0.0051,b4
11.7044,2.0974,0.0056,b4
11.7089,2.0858,0.0052,b4
11.7142,2.1058,0.0053,b4
11.77,2.1181,0.0047,b4
11.7753,2.127,0.0052,b4
11.7803,2.1501,0.0052,b4
11.7853,2.1469,0.0052,b4
11.7903,2.1547,0.005,b4
11.7953,2.1478,0.005,b4
11.8006,2.1483,0.0051,b4
11.8056,2.1595,0.0049,b4
11.81,2.1538,0.0051,b4
11.8156,2.1684,0.0047,b4
11.8206,2.1562,0.0045,b4
11.8256,2.1657,0.0048,b4
11.8308,2.1723,0.0048,b4
11.8358,2.1634,0.0046,b4
11.8408,2.1804,0.0048,b4
11.8458,2.1781,0.0046,b4
11.8503,2.1694,0.005,b4
11.8561,2.1867,0.0045,b4
11.8611,2.1918,0.0051,b4
11.8656,2.1928,0.0055,b4
11.8711,2.2005,0.0045,b4
11.8761,2.1999,0.0045,b4
11.8814,2.1861,0.0043,b4
11.8864,2.1831,0.0051,b4
11.8908,2.2199,0.0044,b4
11.8964,2.2292,0.0046,b4
11.9014,2.2311,0.0047,b4
11.9067,2.2213,0.0041,b4
11.9117,2.2479,0.0043,b4
11.9156,2.255,0.004,b4
12.3367,2.4024,0.0082,b4
12.3419,2.4127,0.0075,b4
12.3469,2.4137,0.0075,b4
12.3519,2.4026,0.0071,b4
12.3569,2.4074,0.0077,b4
12.3619,2.3995,0.0071,b4
12.3672,2.3965,0.007,b4
12.3717,2.3948,0.0083,b4
12.3772,2.3849,0.0081,b4
12.3822,2.3732,0.0079,b4
12.3867,2.359,0.0055,b4
12.3922,2.3545,0.0069,b4
12.3975,2.3649,0.007,b4
12.4019,2.3522,0.007,b4
12.4069,2.3444,0.007,b4
12.4119,2.3355,0.0066,b4
12.4175,2.3404,0.0074,b4
12.4228,2.3335,0.0067,b4
12.4272,2.3375,0.0075,b4
12.4328,2.2985,0.0064,b4
12.4378,2.2967,0.0072,b4
12.4428,2.3098,0.0073,b4
12.4469,2.3013,0.0072,b4
12.4531,2.2842,0.0062,b4
12.4581,2.3046,0.007,b4
12.4631,2.265,0.0081,b4
12.4681,2.2922,0.007,b4
12.62,2.3657,0.007,b4
12.6253,2.3003,0.0063,b4
12.6303,2.3591,0.0053,b4
12.6342,2.3772,0.0066,b4
12.6403,2.3838,0.0064,b4
12.6453,2.3588,0.0078,b4
12.6506,2.3028,0.0087,b4
12.655,2.3603,0.0083,b4
12.6606,2.2708,0.0106,b4
12.6656,2.309,0.0095,b4
12.67,2.2815,0.0112,b4
12.675,2.3539,0.0065,b4
12.6803,2.3538,0.0077,b4
12.6858,2.3108,0.0073,b4
12.6908,2.337,0.0072,b4
12.6958,2.3499,0.0065,b4
12.7008,2.3432,0.0062,b4
12.7061,2.3121,0.0085,b4
12.7111,2.242,0.0094,b4
12.7161,2.2733,0.0097,b4
12.7211,2.2515,0.0114,b4
12.7256,2.2657,0.0109,b4
12.7314,2.2498,0.0085,b4
12.7364,2.2729,0.0081,b4
12.7414,2.3176,0.0074,b4
12.7464,2.3107,0.0084,b4
12.7514,2.2904,0.0078,b4
12.7567,2.2472,0.0079,b4
12.7617,2.2685,0.0073,b4
12.7667,2.2978,0.0066,b4
12.7717,2.263,0.0067,b4
12.7767,2.2479,0.0087,b4
12.7819,2.2892,0.0072,b4
12.8367,2.2415,0.0049,b4
12.8419,2.2273,0.011,b4
12.8469,2.2646,0.011,b4
12.8519,2.2575,0.0094,b4
12.8569,2.3457,0.0074,b4
12.8619,2.3091,0.0048,b4
12.8672,2.3267,0.0058,b4
12.8722,2.3891,0.0066,b4
12.8772,2.3614,0.0074,b4
12.8817,2.3382,0.0088,b4
12.8861,2.2916,0.0093,b4
12.8922,2.3777,0.007,b4
12.8975,2.3587,0.0085,b4
12.9025,2.3449,0.0089,b4
12.9075,2.3568,0.0086,b4
12.9125,2.3704,0.0061,b4
12.9158,2.3268,0.0104,b4
12.9222,2.342,0.0083,b4
12.9278,2.3657,0.0077,b4
12.9328,2.3534,0.0108,b4
12.9378,2.3463,0.0109,b4
12.9428,2.3811,0.0078,b4
12.9481,2.4125,0.0027,b4
12.9525,2.4339,0.0073,b4
12.9581,2.4037,0.0034,b4
12.9631,2.4017,0.0057,b4
12.9681,2.3766,0.0086,b4
12.9733,2.3973,0.008,b4
12.9778,2.3731,0.0102,b4
12.9833,2.4296,0.0103,b4
12.9883,2.4835,0.0054,b4
12.9933,2.4923,0.0073,b4
12.9986,2.4364,0.0078,b4
13.1533,2.2101,0.0062,b4
13.1586,2.1496,0.0115,b4
13.1636,2.2077,0.0052,b4
13.1686,2.214,0.0044,b4
13.1736,2.2195,0.005,b4
13.1786,2.2189,0.0054,b4
13.1839,2.2157,0.0054,b4
13.1889,2.1798,0.0076,b4
13.1939,2.1945,0.005,b4
13.1989,2.1924,0.0064,b4
13.2039,2.1378,0.0117,b4
13.2089,2.1445,0.012,b4
13.2142,2.172,0.0049,b4
13.2192,2.1675,0.006,b4
13.2242,2.192,0.0116,b4
13.2292,2.2307,0.0034,b4
13.2336,2.2084,0.007,b4
13.2394,2.2483,0.0056,b4
13.2444,2.2188,0.0055,b4
13.2494,2.2538,0.0058,b4
13.2544,2.212,0.0079,b4
13.2594,2.2276,0.0063,b4
13.2642,2.1995,0.0084,b4
13.2692,2.1726,0.0051,b4
13.2747,2.174,0.0053,b4
13.2847,2.193,0.0089,b4
13.29,2.1284,0.0072,b4
13.2944,2.1683,0.0144,b4
13.3,2.17,0.0135,b4
13.4367,2.1969,0.0113,b4
13.4419,2.1184,0.0126,b4
13.4464,2.3053,0.0073,b4
13.4514,2.274,0.008,b4
13.4569,2.24,0.0048,b4
13.4619,2.3324,0.0075,b4
13.4672,2.3285,0.007,b4
13.4722,2.3325,0.0074,b4
13.4772,2.3544,0.0063,b4
13.4806,2.3706,0.0075,b4
13.4867,2.3822,0.0072,b4
13.4917,2.3646,0.0099,b4
13.4975,2.3427,0.0048,b4
13.5014,2.2338,0.0214,b4
13.5075,2.1793,0.0226,b4
13.5125,2.313,0.0105,b4
13.5175,2.2705,0.0113,b4
13.5228,2.3752,0.0072,b4
13.5328,2.2955,0.0153,b4
13.5378,2.4149,0.0079,b4
13.5428,2.3691,0.0117,b4
13.5481,2.3822,0.0095,b4
13.5531,2.435,0.0055,b4
13.5569,2.2963,0.0096,b4
13.5631,2.4367,0.0085,b4
13.5681,2.3829,0.0064,b4
